group,samples,mean_iou,median_iou,min_iou,max_iou,mean_dice,median_dice,zero_iou_count,zero_iou_rate,frac_iou_ge_025,frac_iou_ge_050,frac_iou_ge_075,mean_gt_px,mean_pred_px,pred_gt_area_ratio,mean_abs_error_px,mean_encoder_tokens
40-99 px,5,0.8008,0.8077,0.6887,0.9038,0.8876,0.8936,0,0.0,1.0,1.0,0.8,90.6,107.4,1.1854,22.0,2.38
100+ px,29,0.8305,0.8496,0.7037,0.9091,0.9065,0.9187,0,0.0,1.0,1.0,0.931,122.24,126.1,1.0316,23.1,2.764
K-35-8-G-a,34,0.8261,0.844,0.6887,0.9091,0.9038,0.9154,0,0.0,1.0,1.0,0.9118,117.59,123.35,1.049,22.94,2.711
all,34,0.8261,0.844,0.6887,0.9091,0.9038,0.9154,0,0.0,1.0,1.0,0.9118,117.59,123.35,1.049,22.94,2.711
