sample_id,sheet_id,iou,gt_pixels,pred_pixels,logit_max,centroid_distance_mask_px,centroid_distance_source_px,argmax_distance_mask_px,argmax_distance_source_px,class
train_K-35-51-B-a_3_000017,K-35-51-B-a,0.561605,228,317,64.4413,2.924,5.85,6.98,13.96,hit
train_K-35-51-B-a_3_000018,K-35-51-B-a,0.790541,146,119,70.405,0.61,1.22,1.327,2.65,hit
train_K-35-51-B-a_3_000019,K-35-51-B-a,0.509091,30,53,86.1388,0.789,1.58,0.778,1.56,hit
train_K-35-51-B-a_3_000020,K-35-51-B-a,0.813559,117,97,88.6877,0.378,0.76,0.398,0.8,hit
train_K-35-51-B-a_3_000021,K-35-51-B-a,0.845528,111,116,89.5123,0.469,0.94,0.442,0.88,hit
train_K-35-51-B-a_3_000022,K-35-51-B-a,0.788136,112,99,91.2801,0.935,1.87,2.948,5.9,hit
train_K-35-51-B-a_3_000023,K-35-51-B-a,0.679558,166,138,79.929,0.555,1.11,3.263,6.53,hit
train_K-35-51-B-a_3_000024,K-35-51-B-a,0.61976,226,315,72.5561,0.41,0.82,6.36,12.72,hit
train_K-35-51-B-a_3_000025,K-35-51-B-a,0.86014,138,128,96.0031,0.683,1.37,1.201,2.4,hit
train_K-35-51-B-a_3_000026,K-35-51-B-a,0.794326,122,131,88.8108,0.717,1.43,2.149,4.3,hit
train_K-35-51-B-a_3_000027,K-35-51-B-a,0.877049,121,108,73.7562,0.291,0.58,1.507,3.01,hit
train_K-35-51-B-a_3_000028,K-35-51-B-a,0.882883,110,99,103.1152,0.171,0.34,1.643,3.29,hit
train_K-35-51-B-a_3_000029,K-35-51-B-a,0.761438,250,289,67.6968,1.334,2.67,3.51,7.02,hit
train_K-35-51-B-a_3_000030,K-35-51-B-a,0.743056,137,114,86.4229,0.305,0.61,1.459,2.92,hit
train_K-35-51-B-a_3_000031,K-35-51-B-a,0.872881,111,110,96.7556,0.254,0.51,1.548,3.1,hit
train_K-35-51-B-a_3_000032,K-35-51-B-a,0.877863,131,115,97.5944,0.114,0.23,1.043,2.09,hit
train_K-35-51-B-a_3_000033,K-35-51-B-a,0.872727,104,102,94.1365,0.385,0.77,0.985,1.97,hit
train_K-35-51-B-a_3_000034,K-35-51-B-a,0.884615,119,126,105.076,0.412,0.82,1.289,2.58,hit
train_K-35-51-B-a_3_000035,K-35-51-B-a,0.850467,102,96,93.7308,0.645,1.29,0.773,1.55,hit
train_K-35-51-B-a_3_000036,K-35-51-B-a,0.888889,135,137,78.0218,0.484,0.97,1.393,2.79,hit
train_K-35-51-B-a_3_000037,K-35-51-B-a,0.8,133,110,109.9647,0.386,0.77,1.009,2.02,hit
train_K-35-51-B-a_3_000038,K-35-51-B-a,0.857143,116,105,90.8184,0.343,0.69,0.463,0.93,hit
train_K-35-51-B-a_3_000039,K-35-51-B-a,0.898649,147,134,108.2414,0.164,0.33,3.77,7.54,hit
train_K-35-51-B-a_3_000040,K-35-51-B-a,0.880734,104,101,94.1612,0.152,0.3,0.691,1.38,hit
train_K-35-51-B-a_3_000041,K-35-51-B-a,0.786885,149,178,82.4906,1.054,2.11,4.007,8.01,hit
train_K-35-51-B-a_3_000042,K-35-51-B-a,0.773504,203,212,64.4824,0.756,1.51,5.539,11.08,hit
train_K-35-51-B-a_3_000043,K-35-51-B-a,0.907407,107,99,95.5214,0.246,0.49,1.308,2.62,hit
train_K-35-51-B-a_3_000044,K-35-51-B-a,0.8125,110,93,92.2222,0.651,1.3,1.6,3.2,hit
train_K-35-51-B-a_3_000045,K-35-51-B-a,0.841667,117,104,124.9911,0.457,0.91,1.599,3.2,hit
train_K-35-51-B-a_3_000046,K-35-51-B-a,0.807453,138,153,66.8724,0.723,1.45,2.863,5.73,hit
train_K-35-51-B-a_3_000047,K-35-51-B-a,0.775148,136,164,116.7771,0.758,1.52,1.843,3.69,hit
train_K-35-51-B-a_3_000048,K-35-51-B-a,0.632258,104,149,69.8916,1.553,3.11,3.991,7.98,hit
train_K-35-51-B-a_3_000049,K-35-51-B-a,0.840909,115,128,97.9939,0.249,0.5,3.04,6.08,hit
train_K-35-51-B-a_3_000050,K-35-51-B-a,0.696296,100,129,92.4084,0.957,1.91,4.4,8.8,hit
train_K-35-51-B-a_3_000051,K-35-51-B-a,0.823529,106,111,88.3938,0.58,1.16,1.68,3.36,hit
train_K-35-51-B-a_3_000052,K-35-51-B-a,0.840336,105,114,90.2691,0.424,0.85,1.448,2.9,hit
train_K-35-51-B-a_3_000053,K-35-51-B-a,0.735099,115,147,93.9557,1.072,2.14,2.284,4.57,hit
train_K-35-51-B-a_3_000054,K-35-51-B-a,0.748092,113,116,106.5805,0.609,1.22,0.647,1.29,hit
train_K-35-51-B-a_3_000055,K-35-51-B-a,0.570312,73,128,112.2756,0.279,0.56,3.78,7.56,hit
train_K-35-51-B-a_3_000056,K-35-51-B-a,0.708661,103,114,90.997,0.922,1.84,1.185,2.37,hit
train_K-35-51-B-a_4_000001,K-35-51-B-a,0.550725,44,63,97.0126,1.208,2.42,1.162,2.32,hit
train_K-35-51-B-a_4_000002,K-35-51-B-a,0.864662,125,123,99.8743,0.425,0.85,1.783,3.57,hit
train_K-35-51-B-a_4_000003,K-35-51-B-a,0.957627,115,116,97.958,0.122,0.24,0.616,1.23,hit
train_K-35-51-B-a_4_000004,K-35-51-B-a,0.861386,94,94,90.1122,0.39,0.78,1.634,3.27,hit
train_K-35-51-B-a_4_000005,K-35-51-B-a,0.81203,132,109,92.2109,0.347,0.69,2.953,5.91,hit
train_K-35-51-B-a_4_000006,K-35-51-B-a,0.845528,119,108,91.9644,0.146,0.29,1.337,2.67,hit
train_K-35-51-B-a_4_000007,K-35-51-B-a,0.840708,110,98,123.9209,0.262,0.52,1.055,2.11,hit
train_K-35-51-B-a_4_000008,K-35-51-B-a,0.895652,114,104,88.4561,0.228,0.46,0.911,1.82,hit
train_K-35-51-B-a_4_000009,K-35-51-B-a,0.9,116,112,72.4746,0.218,0.44,1.664,3.33,hit
train_K-35-51-B-a_4_000010,K-35-51-B-a,0.810219,137,111,82.9908,0.685,1.37,1.322,2.64,hit
train_K-35-51-B-a_4_000011,K-35-51-B-a,0.767857,103,95,91.1214,1.035,2.07,0.549,1.1,hit
train_K-35-51-B-a_4_000012,K-35-51-B-a,0.761194,130,106,66.7559,0.68,1.36,2.756,5.51,hit
train_K-35-51-B-a_4_000013,K-35-51-B-a,0.905983,117,106,102.8946,0.293,0.59,3.145,6.29,hit
train_K-35-51-B-a_4_000014,K-35-51-B-a,0.757576,104,128,98.3013,0.695,1.39,2.317,4.63,hit
train_K-35-51-B-a_4_000015,K-35-51-B-a,0.933962,103,102,97.3631,0.171,0.34,1.416,2.83,hit
train_K-35-51-B-a_4_000016,K-35-51-B-a,0.690265,85,106,99.3133,0.962,1.92,5.483,10.97,hit
train_K-35-51-B-a_4_000017,K-35-51-B-a,0.801887,87,104,68.2747,0.085,0.17,1.273,2.55,hit
train_K-35-51-B-a_4_000018,K-35-51-B-a,0.758621,49,53,72.6214,0.668,1.34,1.471,2.94,hit
train_K-35-51-B-a_4_000019,K-35-51-B-a,0.771186,100,109,84.0064,0.846,1.69,0.988,1.98,hit
train_K-35-51-B-a_4_000020,K-35-51-B-a,0.832335,162,144,79.3894,0.217,0.43,4.639,9.28,hit
train_K-35-51-B-a_4_000021,K-35-51-B-a,0.776398,131,155,54.1421,0.957,1.91,1.867,3.73,hit
train_K-35-51-B-a_4_000022,K-35-51-B-a,0.798561,138,112,86.0817,0.403,0.81,0.377,0.75,hit
train_K-35-51-B-a_4_000023,K-35-51-B-a,0.818182,136,124,77.1472,0.366,0.73,1.398,2.8,hit
train_K-35-51-B-a_4_000024,K-35-51-B-a,0.865079,121,114,87.1158,0.196,0.39,2.582,5.16,hit
train_K-35-51-B-a_4_000025,K-35-51-B-a,0.903226,88,89,98.4228,0.31,0.62,0.901,1.8,hit
train_K-35-51-B-a_4_000026,K-35-51-B-a,0.827815,145,131,92.2269,0.505,1.01,3.47,6.94,hit
train_K-35-51-B-a_4_000027,K-35-51-B-a,0.806723,110,105,66.8897,0.451,0.9,1.779,3.56,hit
train_K-35-51-B-a_4_000028,K-35-51-B-a,0.844961,128,110,82.649,0.397,0.79,0.923,1.85,hit
