sample_id,sheet_id,iou,gt_pixels,pred_pixels,logit_max,centroid_distance_mask_px,centroid_distance_source_px,argmax_distance_mask_px,argmax_distance_source_px,class
train_K-35-51-B-a_3_000017,K-35-51-B-a,0.538462,12,8,16.2208,0.425,3.91,1.272,11.72,hit
train_K-35-51-B-a_3_000018,K-35-51-B-a,0.5,6,3,12.2028,0.373,3.43,1.118,10.3,hit
train_K-35-51-B-a_3_000019,K-35-51-B-a,0.5,2,1,2.5686,0.5,4.61,0.5,4.61,hit
train_K-35-51-B-a_3_000020,K-35-51-B-a,0.0,6,2,4.8163,1.803,16.61,1.5,13.82,near_miss
train_K-35-51-B-a_3_000021,K-35-51-B-a,0.0,4,0,-0.3262,,,2.55,23.48,near_miss
train_K-35-51-B-a_3_000022,K-35-51-B-a,0.285714,6,3,23.0111,0.85,7.83,0.236,2.17,hit
train_K-35-51-B-a_3_000023,K-35-51-B-a,0.2,9,3,13.0426,0.745,6.87,1.0,9.21,hit
train_K-35-51-B-a_3_000024,K-35-51-B-a,0.4,8,6,22.477,0.373,3.43,0.707,6.51,hit
train_K-35-51-B-a_3_000025,K-35-51-B-a,0.444444,4,9,17.5711,0.835,7.69,0.707,6.51,hit
train_K-35-51-B-a_3_000026,K-35-51-B-a,0.166667,4,3,10.1258,0.527,4.85,0.707,6.51,hit
train_K-35-51-B-a_3_000027,K-35-51-B-a,0.25,4,1,5.1711,0.707,6.51,0.707,6.51,hit
train_K-35-51-B-a_3_000028,K-35-51-B-a,0.4,5,2,12.3961,0.806,7.43,0.447,4.12,hit
train_K-35-51-B-a_3_000029,K-35-51-B-a,0.466667,11,11,26.4187,0.582,5.36,1.095,10.08,hit
train_K-35-51-B-a_3_000030,K-35-51-B-a,0.0,6,0,-5.7074,,,2.062,18.99,near_miss
train_K-35-51-B-a_3_000031,K-35-51-B-a,0.5,6,6,20.8642,0.527,4.85,0.5,4.61,hit
train_K-35-51-B-a_3_000032,K-35-51-B-a,0.142857,7,1,5.4671,0.714,6.58,0.714,6.58,hit
train_K-35-51-B-a_3_000033,K-35-51-B-a,0.75,4,3,49.6111,0.236,2.17,0.707,6.51,hit
train_K-35-51-B-a_3_000034,K-35-51-B-a,0.333333,4,4,24.1819,1.031,9.49,1.581,14.56,hit
train_K-35-51-B-a_3_000035,K-35-51-B-a,1.0,4,4,12.2748,0.0,0.0,0.707,6.51,hit
train_K-35-51-B-a_3_000036,K-35-51-B-a,0.625,8,5,39.4514,0.285,2.63,0.177,1.63,hit
