sample_id,sheet_id,iou,gt_pixels,pred_pixels,logit_max,centroid_distance_mask_px,centroid_distance_source_px,argmax_distance_mask_px,argmax_distance_source_px,class
train_K-35-51-B-a_1_000021,K-35-51-B-a,0.444444,6,7,24.3289,0.659,6.06,0.5,4.6,hit
train_K-35-51-B-a_1_000022,K-35-51-B-a,0.3,5,8,36.269,1.613,14.86,0.632,5.82,hit
train_K-35-51-B-a_1_000023,K-35-51-B-a,0.363636,4,11,49.7043,0.431,3.97,1.581,14.56,hit
train_K-35-51-B-a_1_000024,K-35-51-B-a,0.625,5,8,66.9284,0.53,4.88,0.447,4.12,hit
train_K-35-51-B-a_1_000025,K-35-51-B-a,0.363636,4,11,34.977,1.221,11.25,0.707,6.51,hit
train_K-35-51-B-a_2_000001,K-35-51-B-a,0.5,4,8,61.8677,0.729,6.71,0.707,6.51,hit
train_K-35-51-B-a_2_000002,K-35-51-B-a,0.571429,5,6,90.3867,0.5,4.6,0.447,4.12,hit
train_K-35-51-B-a_2_000003,K-35-51-B-a,0.666667,4,6,58.5896,0.471,4.34,0.707,6.51,hit
train_K-35-51-B-a_2_000004,K-35-51-B-a,0.692308,10,12,45.5835,0.534,4.91,1.118,10.29,hit
train_K-35-51-B-a_2_000005,K-35-51-B-a,0.5,7,5,44.1306,0.606,5.58,0.286,2.63,hit
train_K-35-51-B-a_2_000006,K-35-51-B-a,0.333333,2,6,21.4018,0.167,1.53,0.5,4.6,hit
train_K-35-51-B-a_2_000007,K-35-51-B-a,0.3,4,9,65.5433,1.125,10.35,1.581,14.55,hit
train_K-35-51-B-a_2_000008,K-35-51-B-a,0.333333,5,3,63.7845,0.745,6.86,0.894,8.23,hit
train_K-35-51-B-a_2_000009,K-35-51-B-a,0.444444,5,8,93.6217,0.515,4.74,0.632,5.82,hit
train_K-35-51-B-a_2_000010,K-35-51-B-a,0.3,5,8,104.8934,1.151,10.59,0.447,4.12,hit
train_K-35-51-B-a_2_000011,K-35-51-B-a,0.235294,6,15,37.4439,1.467,13.5,1.803,16.59,hit
train_K-35-51-B-a_3_000001,K-35-51-B-a,0.625,5,8,51.5555,0.584,5.38,0.447,4.12,hit
train_K-35-51-B-a_3_000002,K-35-51-B-a,0.076923,5,9,37.4162,1.822,16.79,1.0,9.21,hit
train_K-35-51-B-a_3_000003,K-35-51-B-a,0.5,4,8,37.1437,0.791,7.28,0.707,6.51,hit
train_K-35-51-B-a_3_000004,K-35-51-B-a,0.75,6,8,35.7047,0.28,2.57,0.5,4.61,hit
train_K-35-51-B-a_3_000005,K-35-51-B-a,0.5,5,7,45.042,0.192,1.77,0.447,4.12,hit
train_K-35-51-B-a_3_000006,K-35-51-B-a,0.5,2,4,24.2238,0.559,5.15,1.5,13.82,hit
train_K-35-51-B-a_3_000007,K-35-51-B-a,1.0,6,6,53.3314,0.0,0.0,0.5,4.61,hit
train_K-35-51-B-a_3_000008,K-35-51-B-a,0.363636,5,10,51.6974,0.224,2.06,0.447,4.12,hit
train_K-35-51-B-a_3_000009,K-35-51-B-a,0.375,4,7,58.8806,0.305,2.81,0.25,2.3,hit
train_K-35-51-B-a_3_000010,K-35-51-B-a,0.285714,6,3,22.168,0.972,8.95,1.65,15.2,hit
train_K-35-51-B-a_3_000011,K-35-51-B-a,0.428571,7,13,21.6291,0.485,4.46,0.639,5.88,hit
train_K-35-51-B-a_3_000012,K-35-51-B-a,0.8,4,5,83.9655,0.316,2.91,0.707,6.51,hit
train_K-35-51-B-a_3_000013,K-35-51-B-a,0.444444,6,7,28.5122,0.626,5.77,0.471,4.34,hit
train_K-35-51-B-a_3_000014,K-35-51-B-a,0.727273,10,9,43.8973,0.394,3.63,0.424,3.91,hit
train_K-35-51-B-a_3_000015,K-35-51-B-a,0.454545,7,9,32.0859,1.04,9.58,1.04,9.58,hit
train_K-35-51-B-a_3_000016,K-35-51-B-a,1.0,6,6,32.4212,0.0,0.0,0.5,4.61,hit
train_K-35-51-B-a_3_000017,K-35-51-B-a,0.785714,12,13,20.947,0.195,1.8,2.029,18.69,hit
train_K-35-51-B-a_3_000018,K-35-51-B-a,0.5,6,6,49.9172,0.707,6.51,0.5,4.61,hit
train_K-35-51-B-a_3_000019,K-35-51-B-a,0.5,2,4,23.2368,0.0,0.0,0.5,4.61,hit
train_K-35-51-B-a_3_000020,K-35-51-B-a,0.375,6,5,36.4761,0.806,7.43,0.5,4.61,hit
train_K-35-51-B-a_3_000021,K-35-51-B-a,0.6,4,4,26.8886,0.559,5.15,0.707,6.51,hit
train_K-35-51-B-a_3_000022,K-35-51-B-a,0.6,6,10,19.3224,0.335,3.09,0.85,7.83,hit
train_K-35-51-B-a_3_000023,K-35-51-B-a,0.6,9,7,30.7447,0.515,4.74,0.0,0.0,hit
train_K-35-51-B-a_3_000024,K-35-51-B-a,0.428571,8,12,39.2831,0.607,5.59,1.581,14.56,hit
train_K-35-51-B-a_3_000025,K-35-51-B-a,0.6,4,4,39.1217,0.559,5.15,0.707,6.51,hit
train_K-35-51-B-a_3_000026,K-35-51-B-a,0.4,4,10,45.8378,1.118,10.3,1.581,14.56,hit
train_K-35-51-B-a_3_000027,K-35-51-B-a,0.6,4,4,37.9666,0.559,5.15,0.707,6.51,hit
train_K-35-51-B-a_3_000028,K-35-51-B-a,0.214286,5,12,46.4526,1.839,16.94,0.447,4.12,hit
train_K-35-51-B-a_3_000029,K-35-51-B-a,0.4,11,17,57.7259,1.077,9.92,1.286,11.84,hit
train_K-35-51-B-a_3_000030,K-35-51-B-a,1.0,6,6,16.0441,0.0,0.0,1.118,10.3,hit
train_K-35-51-B-a_3_000031,K-35-51-B-a,0.75,6,8,61.0391,0.28,2.57,1.118,10.3,hit
train_K-35-51-B-a_3_000032,K-35-51-B-a,0.75,7,7,41.5574,0.319,2.94,0.286,2.63,hit
train_K-35-51-B-a_3_000033,K-35-51-B-a,0.375,4,7,70.7593,0.647,5.96,0.707,6.51,hit
train_K-35-51-B-a_3_000034,K-35-51-B-a,0.363636,4,11,46.1524,0.412,3.79,0.707,6.51,hit
train_K-35-51-B-a_3_000035,K-35-51-B-a,0.666667,4,6,80.0179,0.5,4.61,0.707,6.51,hit
train_K-35-51-B-a_3_000036,K-35-51-B-a,0.7,8,9,59.9872,0.606,5.59,0.177,1.63,hit
train_K-35-51-B-a_3_000037,K-35-51-B-a,0.625,8,5,47.5066,0.426,3.92,0.177,1.63,hit
train_K-35-51-B-a_3_000038,K-35-51-B-a,0.555556,6,8,73.1656,0.791,7.28,0.5,4.61,hit
train_K-35-51-B-a_3_000039,K-35-51-B-a,0.6,7,9,48.3993,0.121,1.11,0.286,2.63,hit
train_K-35-51-B-a_3_000040,K-35-51-B-a,0.5,4,8,51.1369,0.976,8.99,1.581,14.56,hit
train_K-35-51-B-a_3_000041,K-35-51-B-a,0.5,7,14,45.6689,0.576,5.3,1.229,11.32,hit
train_K-35-51-B-a_3_000042,K-35-51-B-a,0.533333,11,12,42.4634,0.803,7.39,1.106,10.19,hit
train_K-35-51-B-a_3_000043,K-35-51-B-a,0.714286,6,6,39.2768,0.373,3.43,0.5,4.61,hit
train_K-35-51-B-a_3_000044,K-35-51-B-a,0.571429,4,7,39.7389,0.226,2.08,0.707,6.51,hit
train_K-35-51-B-a_3_000045,K-35-51-B-a,0.625,6,7,36.0938,0.5,4.61,1.118,10.3,hit
train_K-35-51-B-a_3_000046,K-35-51-B-a,0.5,5,7,82.4631,0.667,6.14,1.0,9.21,hit
train_K-35-51-B-a_3_000047,K-35-51-B-a,0.428571,7,13,41.1871,0.973,8.96,0.714,6.58,hit
train_K-35-51-B-a_3_000048,K-35-51-B-a,0.263158,7,17,25.5394,1.633,15.04,1.286,11.84,hit
train_K-35-51-B-a_3_000049,K-35-51-B-a,0.6,6,10,62.3945,0.767,7.07,1.179,10.86,hit
train_K-35-51-B-a_3_000050,K-35-51-B-a,0.25,4,11,25.2567,19.509,179.7,0.707,6.51,hit
train_K-35-51-B-a_3_000051,K-35-51-B-a,0.625,6,7,44.7891,0.576,5.3,1.118,10.3,hit
train_K-35-51-B-a_3_000052,K-35-51-B-a,0.625,6,7,41.8825,0.842,7.75,0.236,2.17,hit
train_K-35-51-B-a_3_000053,K-35-51-B-a,0.444444,4,9,53.6648,1.069,9.84,0.707,6.51,hit
train_K-35-51-B-a_3_000054,K-35-51-B-a,0.5,6,12,43.8725,1.397,12.87,1.803,16.61,hit
train_K-35-51-B-a_3_000055,K-35-51-B-a,0.181818,2,11,64.5549,1.331,12.26,0.5,4.61,hit
train_K-35-51-B-a_3_000056,K-35-51-B-a,0.416667,6,11,36.1333,1.464,13.48,1.118,10.3,hit
train_K-35-51-B-a_4_000001,K-35-51-B-a,0.0,2,7,24.1692,1.686,15.52,1.118,10.29,near_miss
train_K-35-51-B-a_4_000002,K-35-51-B-a,0.375,5,6,47.4889,0.922,8.49,1.342,12.35,hit
train_K-35-51-B-a_4_000003,K-35-51-B-a,0.222222,5,6,48.3418,67.657,622.79,0.447,4.12,hit
train_K-35-51-B-a_4_000004,K-35-51-B-a,0.444444,5,8,45.1252,0.056,0.51,0.447,4.12,hit
train_K-35-51-B-a_4_000005,K-35-51-B-a,0.181818,5,8,48.8272,1.526,14.05,1.612,14.84,hit
train_K-35-51-B-a_4_000006,K-35-51-B-a,0.5,6,12,55.6373,0.886,8.15,0.5,4.6,hit
train_K-35-51-B-a_4_000007,K-35-51-B-a,0.5,4,8,32.9981,0.791,7.28,1.581,14.55,hit
train_K-35-51-B-a_4_000008,K-35-51-B-a,0.3,6,7,40.0389,0.983,9.05,0.85,7.82,hit
train_K-35-51-B-a_4_000009,K-35-51-B-a,0.4,5,9,32.8447,0.894,8.23,0.447,4.12,hit
train_K-35-51-B-a_4_000010,K-35-51-B-a,0.2,7,5,33.9095,1.629,14.99,1.714,15.78,hit
train_K-35-51-B-a_4_000011,K-35-51-B-a,0.0,4,5,27.0251,1.965,18.09,1.581,14.55,near_miss
train_K-35-51-B-a_4_000012,K-35-51-B-a,0.444444,7,6,22.7191,0.707,6.51,0.0,0.0,hit
train_K-35-51-B-a_4_000013,K-35-51-B-a,0.333333,6,6,37.1293,1.213,11.17,1.118,10.29,hit
train_K-35-51-B-a_4_000014,K-35-51-B-a,0.555556,6,8,59.449,0.834,7.68,0.85,7.82,hit
train_K-35-51-B-a_4_000015,K-35-51-B-a,0.625,6,7,34.0474,0.5,4.6,0.5,4.6,hit
train_K-35-51-B-a_4_000016,K-35-51-B-a,0.285714,5,4,27.2794,0.75,6.9,1.342,12.35,hit
train_K-35-51-B-a_4_000017,K-35-51-B-a,0.571429,6,5,23.5939,0.5,4.6,0.5,4.6,hit
train_K-35-51-B-a_4_000018,K-35-51-B-a,0.222222,2,9,18.813,1.067,9.82,1.118,10.29,hit
train_K-35-51-B-a_4_000019,K-35-51-B-a,0.384615,5,13,75.276,0.623,5.74,0.632,5.82,hit
train_K-35-51-B-a_4_000020,K-35-51-B-a,0.5,8,10,55.2902,0.58,5.34,1.237,11.39,hit
train_K-35-51-B-a_4_000021,K-35-51-B-a,0.454545,6,10,49.7625,1.179,10.85,0.687,6.33,hit
train_K-35-51-B-a_4_000022,K-35-51-B-a,0.75,7,7,61.5723,0.319,2.94,0.286,2.63,hit
train_K-35-51-B-a_4_000023,K-35-51-B-a,0.4,7,14,32.6538,0.814,7.5,1.286,11.84,hit
train_K-35-51-B-a_4_000024,K-35-51-B-a,0.5,6,6,45.6385,0.85,7.82,0.236,2.17,hit
train_K-35-51-B-a_4_000025,K-35-51-B-a,0.571429,4,7,54.1554,0.789,7.26,1.581,14.55,hit
train_K-35-51-B-a_4_000026,K-35-51-B-a,0.545455,9,8,20.4179,0.354,3.25,1.414,13.02,hit
train_K-35-51-B-a_4_000027,K-35-51-B-a,0.222222,4,7,83.069,0.953,8.77,0.707,6.51,hit
train_K-35-51-B-a_4_000028,K-35-51-B-a,0.5,6,9,67.9994,0.82,7.55,0.85,7.82,hit
