sample_id,sheet_id,iou,gt_pixels,pred_pixels,logit_max,centroid_distance_mask_px,centroid_distance_source_px,argmax_distance_mask_px,argmax_distance_source_px,class
train_K-35-51-B-a_1_000001,K-35-51-B-a,0.571429,4,7,69.1712,0.226,2.08,0.707,6.51,hit
train_K-35-51-B-a_1_000002,K-35-51-B-a,0.333333,5,7,47.1218,1.348,12.41,0.447,4.12,hit
train_K-35-51-B-a_1_000003,K-35-51-B-a,0.6,7,9,39.8649,0.194,1.78,1.229,11.32,hit
train_K-35-51-B-a_1_000004,K-35-51-B-a,1.0,6,6,67.0372,0.0,0.0,0.5,4.6,hit
train_K-35-51-B-a_1_000005,K-35-51-B-a,0.571429,4,7,38.5676,0.544,5.01,0.707,6.51,hit
train_K-35-51-B-a_1_000006,K-35-51-B-a,0.666667,4,6,45.2697,0.471,4.34,0.707,6.51,hit
train_K-35-51-B-a_1_000007,K-35-51-B-a,0.5,4,8,80.0231,0.451,4.15,0.75,6.91,hit
train_K-35-51-B-a_1_000008,K-35-51-B-a,0.555556,7,7,36.8479,0.515,4.74,1.414,13.02,hit
train_K-35-51-B-a_1_000009,K-35-51-B-a,0.625,6,7,76.7158,0.457,4.21,0.5,4.6,hit
train_K-35-51-B-a_1_000010,K-35-51-B-a,0.625,6,7,39.031,0.674,6.21,0.5,4.6,hit
train_K-35-51-B-a_1_000011,K-35-51-B-a,0.625,5,8,55.7885,0.503,4.63,0.632,5.82,hit
train_K-35-51-B-a_1_000012,K-35-51-B-a,0.3,6,7,66.0525,0.972,8.95,0.5,4.6,hit
train_K-35-51-B-a_1_000013,K-35-51-B-a,0.555556,6,8,71.6576,0.375,3.45,1.118,10.3,hit
train_K-35-51-B-a_1_000014,K-35-51-B-a,0.6,3,5,46.1905,0.298,2.75,0.745,6.86,hit
train_K-35-51-B-a_1_000015,K-35-51-B-a,0.857143,6,7,79.3958,0.205,1.89,0.85,7.83,hit
train_K-35-51-B-a_1_000016,K-35-51-B-a,0.666667,4,6,55.4352,0.5,4.6,0.707,6.51,hit
train_K-35-51-B-a_1_000017,K-35-51-B-a,0.5,6,12,38.2307,0.786,7.24,1.118,10.3,hit
train_K-35-51-B-a_1_000018,K-35-51-B-a,0.235294,4,17,34.0353,1.618,14.9,1.581,14.56,hit
train_K-35-51-B-a_1_000019,K-35-51-B-a,0.142857,2,14,28.9559,2.023,18.63,1.803,16.6,hit
train_K-35-51-B-a_1_000020,K-35-51-B-a,0.333333,5,15,37.9489,0.283,2.6,0.447,4.12,hit
