run,eval_sheets,train_sheets,train_subsample,window_px,epochs,final_iou,final_dice,peak_iou_oracle,peak_epoch_oracle,eval_samples,median_iou,min_iou,max_iou,zero_iou_count,frac_iou_ge_025,frac_iou_ge_050,frac_iou_ge_075,mean_gt_px,mean_pred_px,pred_gt_area_ratio,mean_abs_error_px,mean_abs_error_source_px,mean_gt_area_source_px,mean_logit_max,mean_logit_min,mean_prob_in_gt,mean_prob_in_background
v0_4_loso512_foldA_pw20,K-35-51-B-a,"K-34-35-B-g,K-35-8-G-a",,512,50,0.793,0.8811,0.8035,5,120,0.81,0.4486,0.9576,0,1.0,0.9917,0.775,116.47,122.09,1.0483,29.11,116.4,465.9,88.87,-95.08,0.9025,0.00026577
v0_4_loso512_foldB_pw20,K-35-8-G-a,"K-34-35-B-g,K-35-51-B-a",,512,50,0.8261,0.9038,0.836,15,34,0.844,0.6887,0.9091,0,1.0,1.0,0.9118,117.59,123.35,1.049,22.94,91.8,470.4,88.54,-91.25,0.9311,0.00022029
v0_4_loso512_foldC_pw20,K-34-35-B-g,"K-35-51-B-a,K-35-8-G-a",,512,50,0.7574,0.8598,0.8104,5,17,0.7591,0.5948,0.8731,0,1.0,1.0,0.5294,95.29,101.53,1.0654,25.76,103.1,381.2,80.23,-90.84,0.9043,0.00024691
