group,samples,mean_iou,median_iou,min_iou,max_iou,mean_dice,median_dice,zero_iou_count,zero_iou_rate,frac_iou_ge_025,frac_iou_ge_050,frac_iou_ge_075,mean_gt_px,mean_pred_px,pred_gt_area_ratio,mean_abs_error_px,mean_encoder_tokens
1-3 px,16,0.5078,0.45,0.0,1.0,0.6145,0.619,1,0.0625,0.75,0.5,0.3125,2.31,4.44,1.9189,2.88,0.38
4-5 px,56,0.7561,0.8,0.0,1.0,0.8304,0.8889,1,0.0179,0.9464,0.8571,0.5714,4.41,5.52,1.251,2.0,0.525
6-8 px,57,0.736,0.8333,0.1538,1.0,0.8237,0.9091,0,0.0,0.9298,0.8596,0.5789,6.42,6.63,1.0328,2.39,0.633
9+ px,8,0.7268,0.7596,0.5625,0.8333,0.8386,0.8634,0,0.0,1.0,1.0,0.625,10.38,9.62,0.9277,3.25,0.805
K-34-35-B-g,17,0.6909,0.75,0.125,1.0,0.7776,0.8571,0,0.0,0.8824,0.7647,0.6471,4.24,5.29,1.25,1.76,0.514
K-35-51-B-a,120,0.7207,0.7596,0.0,1.0,0.8065,0.8634,2,0.0167,0.925,0.8333,0.5333,5.51,6.21,1.1271,2.42,0.587
all,137,0.717,0.75,0.0,1.0,0.8029,0.8571,2,0.0146,0.9197,0.8248,0.5474,5.35,6.09,1.1392,2.34,0.578
