group,samples,mean_iou,median_iou,min_iou,max_iou,mean_dice,median_dice,zero_iou_count,zero_iou_rate,frac_iou_ge_025,frac_iou_ge_050,frac_iou_ge_075,mean_gt_px,mean_pred_px,pred_gt_area_ratio,mean_abs_error_px,mean_encoder_tokens
1-3 px,16,0.2607,0.3095,0.0,0.6,0.3621,0.4722,6,0.375,0.625,0.25,0.0,2.31,4.31,1.8649,4.13,0.38
4-5 px,56,0.4815,0.5278,0.0,1.0,0.5942,0.6905,7,0.125,0.7857,0.5714,0.1607,4.41,5.52,1.251,3.93,0.525
6-8 px,57,0.526,0.5714,0.0,1.0,0.646,0.7273,4,0.0702,0.8596,0.6491,0.2105,6.42,6.12,0.9536,4.3,0.633
9+ px,8,0.5605,0.6154,0.1538,0.7778,0.6976,0.7619,0,0.0,0.875,0.75,0.125,10.38,8.0,0.7711,5.37,0.805
K-34-35-B-g,17,0.3832,0.5,0.0,0.75,0.4961,0.6667,4,0.2353,0.7059,0.5294,0.0588,4.24,4.18,0.9861,3.82,0.514
K-35-51-B-a,120,0.4924,0.5,0.0,1.0,0.6086,0.6667,13,0.1083,0.8167,0.5833,0.175,5.51,6.0,1.0893,4.24,0.587
all,137,0.4788,0.5,0.0,1.0,0.5947,0.6667,17,0.1241,0.8029,0.5766,0.1606,5.35,5.77,1.0791,4.19,0.578
