group,samples,mean_iou,median_iou,min_iou,max_iou,mean_dice,median_dice,zero_iou_count,zero_iou_rate,frac_iou_ge_025,frac_iou_ge_050,frac_iou_ge_075,mean_gt_px,mean_pred_px,pred_gt_area_ratio,mean_abs_error_px,mean_encoder_tokens
1-3 px,1,0.5,0.5,0.5,0.5,0.6667,0.6667,0,0.0,1.0,1.0,0.0,3.0,6.0,2.0,3.0,0.433
4-5 px,9,0.6635,0.625,0.375,1.0,0.7824,0.7692,0,0.0,1.0,0.8889,0.4444,4.56,6.11,1.3415,2.44,0.534
6-8 px,23,0.7013,0.7,0.4167,1.0,0.8165,0.8235,0,0.0,1.0,0.9565,0.3043,6.39,6.43,1.0068,2.39,0.632
9+ px,1,0.7778,0.7778,0.7778,0.7778,0.875,0.875,0,0.0,1.0,1.0,1.0,9.0,7.0,0.7778,2.0,0.75
K-35-8-G-a,34,0.6876,0.6833,0.375,1.0,0.8048,0.8118,0,0.0,1.0,0.9412,0.3529,5.88,6.35,1.08,2.41,0.606
all,34,0.6876,0.6833,0.375,1.0,0.8048,0.8118,0,0.0,1.0,0.9412,0.3529,5.88,6.35,1.08,2.41,0.606
