arm,offset_px,n_directions,mean_abs_error_source_px,mean_gt_area_source_px,mean_iou,iou_ge_0_5_rate,zero_iou_rate,zero_prediction_rate,worst_direction_abs_error_source_px
window512,0,1,91.76470588235294,470.3529411764706,0.8261454117647059,1.0,0.0,0.0,91.76470588235294
window512,5,8,140.47058823529412,470.86764705882354,0.7395539889705882,0.9963235294117647,0.0,0.0,180.58823529411765
window512,10,8,254.98529411764707,470.52941176470586,0.5460117389705882,0.6911764705882353,0.0,0.0,290.8235294117647
window512,15,8,444.55882352941177,471.04411764705884,0.28798305514705885,0.022058823529411763,0.0,0.0,508.2352941176471
window512,25,8,734.6764705882352,470.9558823529412,0.008929742647058824,0.0,0.6801470588235294,0.0,779.7647058823529
window512,50,8,744.25,470.4705882352941,0.0,0.0,1.0,0.0,831.0588235294117
window512,100,8,734.1617647058823,470.5294117647059,0.0,0.0,1.0,0.0,756.9411764705883
window512,200,8,718.6470588235294,470.30882352941177,0.0,0.0,1.0,0.03308823529411765,741.5294117647059
window512,250,8,670.1029411764706,432.19117647058823,0.0,0.0,1.0,0.044117647058823525,714.7058823529412
window512,300,8,519.3235294117648,291.0,0.0,0.0,1.0,0.07720588235294118,719.2941176470588
