arm,window_px,jitter_prompts,offset_px,direction,n,mean_abs_error_source_px,mean_gt_area_source_px,mean_iou,iou_ge_0_5_rate,zero_iou_rate,zero_prediction_rate
window512_gtprompt,512,False,0,none,34,91.76470588235294,470.3529411764706,0.8261454117647059,1.0,0.0,0.0
window512_gtprompt,512,False,5,E,34,95.41176470588235,471.4117647058824,0.8199106176470589,1.0,0.0,0.0
window512_gtprompt,512,False,5,NE,34,98.47058823529412,470.3529411764706,0.8166246764705882,1.0,0.0,0.0
window512_gtprompt,512,False,5,N,34,99.52941176470588,471.4117647058824,0.8143721470588234,1.0,0.0,0.0
window512_gtprompt,512,False,5,NW,34,97.6470588235294,470.3529411764706,0.816862,1.0,0.0,0.0
window512_gtprompt,512,False,5,W,34,96.3529411764706,471.29411764705884,0.8184629411764706,1.0,0.0,0.0
window512_gtprompt,512,False,5,SW,34,96.0,470.3529411764706,0.8175435882352942,1.0,0.0,0.0
window512_gtprompt,512,False,5,S,34,93.52941176470588,471.4117647058824,0.8216927941176471,1.0,0.0,0.0
window512_gtprompt,512,False,5,SE,34,97.6470588235294,470.3529411764706,0.8158774411764707,1.0,0.0,0.0
window512_gtprompt,512,False,10,E,34,97.76470588235294,470.3529411764706,0.8183264117647059,1.0,0.0,0.0
window512_gtprompt,512,False,10,NE,34,99.52941176470588,470.8235294117647,0.8152596176470589,1.0,0.0,0.0
window512_gtprompt,512,False,10,N,34,99.29411764705883,470.3529411764706,0.8155921764705882,1.0,0.0,0.0
window512_gtprompt,512,False,10,NW,34,97.6470588235294,470.5882352941176,0.8177156470588235,1.0,0.0,0.0
window512_gtprompt,512,False,10,W,34,89.52941176470588,470.3529411764706,0.8301399117647059,1.0,0.0,0.0
window512_gtprompt,512,False,10,SW,34,93.76470588235294,470.5882352941176,0.8216462058823529,1.0,0.0,0.0
window512_gtprompt,512,False,10,S,34,92.11764705882354,470.3529411764706,0.8253168529411765,1.0,0.0,0.0
window512_gtprompt,512,False,10,SE,34,94.3529411764706,470.8235294117647,0.8218788823529412,1.0,0.0,0.0
window512_gtprompt,512,False,15,E,34,96.47058823529412,471.4117647058824,0.8198007941176471,1.0,0.0,0.0
window512_gtprompt,512,False,15,NE,34,104.0,470.8235294117647,0.8091602647058823,1.0,0.0,0.0
window512_gtprompt,512,False,15,N,34,100.3529411764706,471.4117647058824,0.8149226470588236,1.0,0.0,0.0
window512_gtprompt,512,False,15,NW,34,99.41176470588235,470.5882352941176,0.8149930294117647,1.0,0.0,0.0
window512_gtprompt,512,False,15,W,34,88.47058823529412,471.29411764705884,0.8322422647058824,1.0,0.0,0.0
window512_gtprompt,512,False,15,SW,34,95.88235294117646,470.5882352941176,0.8174496176470588,1.0,0.0,0.0
window512_gtprompt,512,False,15,S,34,91.17647058823529,471.4117647058824,0.8254439117647059,1.0,0.0,0.0
window512_gtprompt,512,False,15,SE,34,98.70588235294117,470.8235294117647,0.8155087647058824,1.0,0.0,0.0
window512_gtprompt,512,False,25,E,34,104.11764705882354,471.4117647058824,0.8094121764705883,1.0,0.0,0.0
window512_gtprompt,512,False,25,NE,34,111.76470588235294,470.70588235294116,0.7995245294117648,1.0,0.0,0.0
window512_gtprompt,512,False,25,N,34,104.70588235294117,471.4117647058824,0.8095721764705882,1.0,0.0,0.0
window512_gtprompt,512,False,25,NW,34,100.70588235294117,470.70588235294116,0.8145859117647059,1.0,0.0,0.0
window512_gtprompt,512,False,25,W,34,91.6470588235294,471.29411764705884,0.8264675,1.0,0.0,0.0
window512_gtprompt,512,False,25,SW,34,89.29411764705883,470.3529411764706,0.8290684705882353,1.0,0.0,0.0
window512_gtprompt,512,False,25,S,34,86.23529411764706,471.4117647058824,0.833612205882353,1.0,0.0,0.0
window512_gtprompt,512,False,25,SE,34,98.58823529411765,470.3529411764706,0.8162489117647058,1.0,0.0,0.0
window512_gtprompt,512,False,50,E,34,101.41176470588235,470.11764705882354,0.8125984705882353,1.0,0.0,0.0
window512_gtprompt,512,False,50,NE,34,127.29411764705883,470.5882352941176,0.7791869705882353,1.0,0.0,0.0
window512_gtprompt,512,False,50,N,34,115.76470588235294,470.70588235294116,0.7933880294117648,1.0,0.0,0.0
window512_gtprompt,512,False,50,NW,34,116.70588235294117,470.5882352941176,0.7918905588235293,1.0,0.0,0.0
window512_gtprompt,512,False,50,W,34,98.11764705882354,470.2352941176471,0.8168168235294118,1.0,0.0,0.0
window512_gtprompt,512,False,50,SW,34,96.82352941176471,470.5882352941176,0.8151948823529412,1.0,0.0,0.0
window512_gtprompt,512,False,50,S,34,92.58823529411765,470.3529411764706,0.8203494705882353,1.0,0.0,0.0
window512_gtprompt,512,False,50,SE,34,101.05882352941177,470.5882352941176,0.8122165,1.0,0.0,0.0
window512_gtprompt,512,False,100,E,34,96.82352941176471,469.88235294117646,0.8143139117647058,1.0,0.0,0.0
window512_gtprompt,512,False,100,NE,34,109.05882352941177,470.8235294117647,0.802612294117647,1.0,0.0,0.0
window512_gtprompt,512,False,100,N,34,102.70588235294117,470.94117647058823,0.8030107941176471,1.0,0.0,0.0
window512_gtprompt,512,False,100,NW,34,105.6470588235294,470.3529411764706,0.8085420294117647,1.0,0.0,0.0
window512_gtprompt,512,False,100,W,34,88.3529411764706,470.11764705882354,0.8319191176470588,1.0,0.0,0.0
