arm,offset_px,n_directions,mean_abs_error_source_px,mean_gt_area_source_px,mean_iou,iou_ge_0_5_rate,zero_iou_rate,zero_prediction_rate,worst_direction_abs_error_source_px
window512_gtprompt,0,1,91.76470588235294,470.3529411764706,0.8261454117647059,1.0,0.0,0.0,91.76470588235294
window512_gtprompt,5,8,96.82352941176471,470.86764705882354,0.8176682757352941,1.0,0.0,0.0,99.52941176470588
window512_gtprompt,10,8,95.5,470.52941176470586,0.8207344632352941,1.0,0.0,0.0,99.52941176470588
window512_gtprompt,15,8,96.80882352941177,471.04411764705884,0.8186901617647059,1.0,0.0,0.0,104.0
window512_gtprompt,25,8,98.38235294117646,470.9558823529412,0.8173114852941177,1.0,0.0,0.0,111.76470588235294
window512_gtprompt,50,8,106.22058823529412,470.4705882352941,0.8052052132352941,1.0,0.0,0.0,127.29411764705883
window512_gtprompt,100,8,100.6470588235294,470.5294117647059,0.8124398897058823,1.0,0.0,0.0,109.05882352941177
window512_gtprompt,200,8,100.92647058823529,470.30882352941177,0.8090940808823529,1.0,0.0,0.0,113.52941176470588
window512_gtprompt,250,8,94.16176470588235,432.19117647058823,0.8030655625,1.0,0.0,0.0,111.76470588235294
window512_gtprompt,300,8,91.27941176470588,291.0,0.4958476176470588,0.6213235294117647,0.3786764705882353,0.051470588235294115,147.05882352941177
