arm,window_px,jitter_prompts,offset_px,direction,n,mean_abs_error_source_px,mean_gt_area_source_px,mean_iou,iou_ge_0_5_rate,zero_iou_rate,zero_prediction_rate
window512,512,True,0,none,34,91.76470588235294,470.3529411764706,0.8261454117647059,1.0,0.0,0.0
window512,512,True,5,E,34,124.11764705882354,471.4117647058824,0.7676338529411765,1.0,0.0,0.0
window512,512,True,5,NE,34,106.47058823529412,470.3529411764706,0.7956024117647058,1.0,0.0,0.0
window512,512,True,5,N,34,110.94117647058823,471.4117647058824,0.7895659705882353,1.0,0.0,0.0
window512,512,True,5,NW,34,124.82352941176471,470.3529411764706,0.7642213235294117,1.0,0.0,0.0
window512,512,True,5,W,34,146.0,471.29411764705884,0.7280384117647059,0.9705882352941176,0.0,0.0
window512,512,True,5,SW,34,180.58823529411765,470.3529411764706,0.6736463823529412,1.0,0.0,0.0
window512,512,True,5,S,34,175.05882352941177,471.4117647058824,0.6837491176470588,1.0,0.0,0.0
window512,512,True,5,SE,34,155.76470588235293,470.3529411764706,0.7139744411764707,1.0,0.0,0.0
window512,512,True,10,E,34,230.47058823529412,470.3529411764706,0.5889923235294118,0.7941176470588235,0.0,0.0
window512,512,True,10,NE,34,212.58823529411765,470.8235294117647,0.6089605,0.9117647058823529,0.0,0.0
window512,512,True,10,N,34,241.41176470588235,470.3529411764706,0.564413,0.7941176470588235,0.0,0.0
window512,512,True,10,NW,34,252.94117647058823,470.5882352941176,0.5461321176470588,0.7941176470588235,0.0,0.0
window512,512,True,10,W,34,290.8235294117647,470.3529411764706,0.49673032352941177,0.5294117647058824,0.0,0.0
window512,512,True,10,SW,34,286.47058823529414,470.5882352941176,0.4921518235294118,0.38235294117647056,0.0,0.0
window512,512,True,10,S,34,275.6470588235294,470.3529411764706,0.5155234117647058,0.5294117647058824,0.0,0.0
window512,512,True,10,SE,34,249.52941176470588,470.8235294117647,0.5551904117647058,0.7941176470588235,0.0,0.0
window512,512,True,15,E,34,477.88235294117646,471.4117647058824,0.273563,0.058823529411764705,0.0,0.0
window512,512,True,15,NE,34,417.05882352941177,470.8235294117647,0.3275400882352941,0.058823529411764705,0.0,0.0
window512,512,True,15,N,34,409.29411764705884,471.4117647058824,0.317292705882353,0.029411764705882353,0.0,0.0
window512,512,True,15,NW,34,429.88235294117646,470.5882352941176,0.30480920588235294,0.0,0.0,0.0
window512,512,True,15,W,34,508.2352941176471,471.29411764705884,0.22665779411764705,0.0,0.0,0.0
window512,512,True,15,SW,34,460.5882352941176,470.5882352941176,0.25447294117647057,0.0,0.0,0.0
window512,512,True,15,S,34,459.88235294117646,471.4117647058824,0.25317982352941176,0.0,0.0,0.0
window512,512,True,15,SE,34,393.6470588235294,470.8235294117647,0.3463488823529412,0.029411764705882353,0.0,0.0
window512,512,True,25,E,34,774.2352941176471,471.4117647058824,0.0050133529411764705,0.0,0.8235294117647058,0.0
window512,512,True,25,NE,34,703.7647058823529,470.70588235294116,0.01570985294117647,0.0,0.5588235294117647,0.0
window512,512,True,25,N,34,725.7647058823529,471.4117647058824,0.007306617647058824,0.0,0.6764705882352942,0.0
window512,512,True,25,NW,34,723.7647058823529,470.70588235294116,0.023102735294117646,0.0,0.3235294117647059,0.0
window512,512,True,25,W,34,779.7647058823529,471.29411764705884,0.001534294117647059,0.0,0.8529411764705882,0.0
window512,512,True,25,SW,34,717.7647058823529,470.3529411764706,0.006836029411764706,0.0,0.7058823529411765,0.0
window512,512,True,25,S,34,750.3529411764706,471.4117647058824,0.004292205882352941,0.0,0.7941176470588235,0.0
window512,512,True,25,SE,34,702.0,470.3529411764706,0.00764285294117647,0.0,0.7058823529411765,0.0
window512,512,True,50,E,34,831.0588235294117,470.11764705882354,0.0,0.0,1.0,0.0
window512,512,True,50,NE,34,728.7058823529412,470.5882352941176,0.0,0.0,1.0,0.0
window512,512,True,50,N,34,724.0,470.70588235294116,0.0,0.0,1.0,0.0
window512,512,True,50,NW,34,727.2941176470588,470.5882352941176,0.0,0.0,1.0,0.0
window512,512,True,50,W,34,759.4117647058823,470.2352941176471,0.0,0.0,1.0,0.0
window512,512,True,50,SW,34,716.4705882352941,470.5882352941176,0.0,0.0,1.0,0.0
window512,512,True,50,S,34,730.0,470.3529411764706,0.0,0.0,1.0,0.0
window512,512,True,50,SE,34,737.0588235294117,470.5882352941176,0.0,0.0,1.0,0.0
window512,512,True,100,E,34,739.6470588235294,469.88235294117646,0.0,0.0,1.0,0.0
window512,512,True,100,NE,34,728.1176470588235,470.8235294117647,0.0,0.0,1.0,0.0
window512,512,True,100,N,34,744.1176470588235,470.94117647058823,0.0,0.0,1.0,0.0
window512,512,True,100,NW,34,710.2352941176471,470.3529411764706,0.0,0.0,1.0,0.0
window512,512,True,100,W,34,745.5294117647059,470.11764705882354,0.0,0.0,1.0,0.0
window512,512,True,100,SW,34,710.5882352941177,470.3529411764706,0.0,0.0,1.0,0.0
window512,512,True,100,S,34,738.1176470588235,470.3529411764706,0.0,0.0,1.0,0.0
window512,512,True,100,SE,34,756.9411764705883,471.4117647058824,0.0,0.0,1.0,0.0
