arm,offset_px,n_directions,mean_abs_error_source_px,mean_gt_area_source_px,mean_iou,iou_ge_0_5_rate,zero_iou_rate,zero_prediction_rate,worst_direction_abs_error_source_px
fulltile,0,1,253.90588235294115,479.0470588235294,0.6020657352941177,0.7058823529411765,0.0,0.0,253.90588235294115
fulltile,5,8,287.4330882352941,479.0470588235294,0.5698540588235295,0.7095588235294118,0.0,0.0,352.1029411764706
fulltile,10,8,364.9764705882353,479.0470588235294,0.4823660036764706,0.5514705882352942,0.051470588235294115,0.007352941176470588,452.68823529411765
fulltile,15,8,479.0485294117647,479.0470588235294,0.36496733088235295,0.34191176470588236,0.1323529411764706,0.03308823529411765,589.25
fulltile,25,8,702.4143382352942,479.0470588235294,0.12222764338235294,0.0625,0.5588235294117647,0.025735294117647058,819.214705882353
fulltile,50,8,767.083455882353,479.0470588235294,0.0011948529411764707,0.0,0.9926470588235294,0.07720588235294118,862.2941176470588
fulltile,100,8,704.2047794117647,479.0470588235294,0.0,0.0,1.0,0.1286764705882353,742.5
fulltile,200,8,666.7694852941177,479.0470588235294,0.0,0.0,1.0,0.17647058823529413,706.5882352941177
fulltile,250,8,684.1360294117648,479.0470588235294,0.0,0.0,1.0,0.14705882352941177,725.7558823529412
fulltile,300,8,685.6213235294117,479.0470588235294,0.0,0.0,1.0,0.09558823529411765,725.6970588235295
