group,samples,mean_iou,median_iou,min_iou,max_iou,mean_dice,median_dice,zero_iou_count,zero_iou_rate,frac_iou_ge_025,frac_iou_ge_050,frac_iou_ge_075,mean_gt_px,mean_pred_px,pred_gt_area_ratio,mean_abs_error_px,mean_encoder_tokens
1-3 px,1,0.25,0.25,0.25,0.25,0.4,0.4,0,0.0,1.0,0.0,0.0,3.0,7.0,2.3333,6.0,0.433
4-5 px,9,0.4471,0.4286,0.25,0.625,0.6087,0.6,0,0.0,1.0,0.4444,0.0,4.56,8.44,1.8537,5.22,0.534
6-8 px,23,0.5911,0.6,0.1111,1.0,0.7213,0.75,0,0.0,0.9565,0.7391,0.2174,6.39,8.78,1.3741,4.3,0.632
9+ px,1,0.7778,0.7778,0.7778,0.7778,0.875,0.875,0,0.0,1.0,1.0,1.0,9.0,7.0,0.7778,2.0,0.75
K-35-8-G-a,34,0.5484,0.5556,0.1111,1.0,0.6865,0.7143,0,0.0,0.9706,0.6471,0.1765,5.88,8.59,1.46,4.53,0.606
all,34,0.5484,0.5556,0.1111,1.0,0.6865,0.7143,0,0.0,0.9706,0.6471,0.1765,5.88,8.59,1.46,4.53,0.606
