group,samples,mean_iou,median_iou,min_iou,max_iou,mean_dice,median_dice,zero_iou_count,zero_iou_rate,frac_iou_ge_025,frac_iou_ge_050,frac_iou_ge_075,mean_gt_px,mean_pred_px,pred_gt_area_ratio,mean_abs_error_px,mean_encoder_tokens
1-3 px,1,0.5,0.5,0.5,0.5,0.6667,0.6667,0,0.0,1.0,1.0,0.0,3.0,6.0,2.0,3.0,0.433
4-5 px,9,0.5624,0.5,0.3333,0.8333,0.7065,0.6667,0,0.0,1.0,0.6667,0.2222,4.56,6.22,1.3659,3.22,0.534
6-8 px,23,0.6462,0.6667,0.3333,0.875,0.7716,0.8,0,0.0,1.0,0.7826,0.3478,6.39,7.0,1.0952,3.13,0.632
9+ px,1,0.6667,0.6667,0.6667,0.6667,0.8,0.8,0,0.0,1.0,1.0,0.0,9.0,6.0,0.6667,3.0,0.75
K-35-8-G-a,34,0.6203,0.6125,0.3333,0.875,0.7521,0.7596,0,0.0,1.0,0.7647,0.2941,5.88,6.74,1.145,3.15,0.606
all,34,0.6203,0.6125,0.3333,0.875,0.7521,0.7596,0,0.0,1.0,0.7647,0.2941,5.88,6.74,1.145,3.15,0.606
