group,samples,mean_iou,median_iou,min_iou,max_iou,mean_dice,median_dice,zero_iou_count,zero_iou_rate,frac_iou_ge_025,frac_iou_ge_050,frac_iou_ge_075,mean_gt_px,mean_pred_px,pred_gt_area_ratio,mean_abs_error_px,mean_encoder_tokens
1-3 px,1,0.6,0.6,0.6,0.6,0.75,0.75,0,0.0,1.0,1.0,0.0,3.0,5.0,1.6667,2.0,0.433
4-5 px,9,0.6705,0.625,0.5,1.0,0.7928,0.7692,0,0.0,1.0,1.0,0.3333,4.56,5.33,1.1707,2.11,0.534
6-8 px,23,0.6982,0.7,0.5,0.8571,0.818,0.8235,0,0.0,1.0,1.0,0.3043,6.39,6.26,0.9796,2.3,0.632
9+ px,1,0.5556,0.5556,0.5556,0.5556,0.7143,0.7143,0,0.0,1.0,1.0,0.0,9.0,5.0,0.5556,4.0,0.75
K-35-8-G-a,34,0.6838,0.6667,0.5,1.0,0.8063,0.8,0,0.0,1.0,1.0,0.2941,5.88,5.94,1.01,2.29,0.606
all,34,0.6838,0.6667,0.5,1.0,0.8063,0.8,0,0.0,1.0,1.0,0.2941,5.88,5.94,1.01,2.29,0.606
