group,samples,mean_iou,median_iou,min_iou,max_iou,mean_dice,median_dice,zero_iou_count,zero_iou_rate,frac_iou_ge_025,frac_iou_ge_050,frac_iou_ge_075,mean_gt_px,mean_pred_px,pred_gt_area_ratio,mean_abs_error_px,mean_encoder_tokens
1-3 px,16,0.7324,0.6667,0.25,1.0,0.8199,0.8,0,0.0,1.0,0.875,0.4375,2.31,3.31,1.4324,1.13,0.38
4-5 px,56,0.7843,0.8,0.2222,1.0,0.8622,0.8889,0,0.0,0.9821,0.9107,0.6607,4.41,5.36,1.2146,1.48,0.525
6-8 px,57,0.8338,0.8571,0.3,1.0,0.8979,0.9231,0,0.0,1.0,0.9649,0.7368,6.42,6.88,1.071,1.4,0.633
9+ px,8,0.7629,0.7679,0.5625,1.0,0.8585,0.8686,0,0.0,1.0,1.0,0.625,10.38,11.25,1.0843,3.12,0.805
K-34-35-B-g,17,0.8412,0.8,0.25,1.0,0.8986,0.8889,0,0.0,1.0,0.9412,0.8235,4.24,5.12,1.2083,0.88,0.514
K-35-51-B-a,120,0.7914,0.8167,0.2222,1.0,0.8681,0.899,0,0.0,0.9917,0.9333,0.6417,5.51,6.23,1.1316,1.59,0.587
all,137,0.7976,0.8,0.2222,1.0,0.8719,0.8889,0,0.0,0.9927,0.9343,0.6642,5.35,6.09,1.1392,1.5,0.578
